X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.441250, -0.441000, 0.500000, 2.000000, SAFE, 49616.604946, 26227.326172, 1, 1808
-0.543500, -0.543450, 0.500000, 2.000000, SAFE, 50866.971409, 26718.404297, 1, 1913
-0.543400, -0.543350, 0.500000, 2.000000, SAFE, 51175.099146, 26934.250000, 1, 1913
-0.543050, -0.543000, 0.500000, 2.000000, SAFE, 51053.819758, 26871.394531, 1, 1913
-0.543350, -0.543300, 0.500000, 2.000000, SAFE, 50974.082326, 26816.349609, 1, 1913
-0.543250, -0.543200, 0.500000, 2.000000, SAFE, 50982.208516, 26805.107422, 1, 1913
-0.543150, -0.543100, 0.500000, 2.000000, SAFE, 50859.766088, 26636.304688, 1, 1913
-0.543300, -0.543250, 0.500000, 2.000000, SAFE, 51057.089157, 26767.765625, 1, 1913
-0.543100, -0.543050, 0.500000, 2.000000, SAFE, 50890.257075, 26720.509766, 1, 1913
-0.543200, -0.543150, 0.500000, 2.000000, SAFE, 50817.994961, 26657.900391, 1, 1913
-0.543450, -0.543400, 0.500000, 2.000000, SAFE, 50898.099664, 26690.470703, 1, 1913
-0.533500, -0.533450, 0.500000, 2.000000, SAFE, 62849.469463, 33860.667969, 1, 1892
-0.533350, -0.533300, 0.500000, 2.000000, SAFE, 62967.480590, 33877.871094, 1, 1892
-0.535000, -0.534950, 0.500000, 2.000000, SAFE, 63060.423229, 33595.101562, 1, 1892
-0.532900, -0.532850, 0.500000, 2.000000, SAFE, 63170.674072, 33980.535156, 1, 1892
-0.533100, -0.533050, 0.500000, 2.000000, SAFE, 63204.651721, 34018.761719, 1, 1892
-0.534400, -0.534350, 0.500000, 2.000000, SAFE, 62693.629842, 33788.152344, 1, 1892
-0.534000, -0.533950, 0.500000, 2.000000, SAFE, 62987.926973, 33868.859375, 1, 1892
-0.533050, -0.533000, 0.500000, 2.000000, SAFE, 62788.090849, 33650.535156, 1, 1892
-0.532650, -0.532600, 0.500000, 2.000000, SAFE, 63172.328042, 33829.929688, 1, 1892
-0.535150, -0.535100, 0.500000, 2.000000, SAFE, 62688.604756, 33756.589844, 1, 1892
-0.534450, -0.534400, 0.500000, 2.000000, SAFE, 63675.532384, 34734.937500, 1, 1892
-0.535200, -0.535150, 0.500000, 2.000000, SAFE, 63090.815319, 33926.312500, 1, 1892
-0.533450, -0.533400, 0.500000, 2.000000, SAFE, 63241.881619, 34122.878906, 1, 1892
-0.534700, -0.534650, 0.500000, 2.000000, SAFE, 62749.283866, 33724.648438, 1, 1892
-0.534800, -0.534750, 0.500000, 2.000000, SAFE, 63110.623528, 33903.312500, 1, 1892
-0.534100, -0.534050, 0.500000, 2.000000, SAFE, 62702.427415, 33854.679688, 1, 1892
-0.535100, -0.535050, 0.500000, 2.000000, SAFE, 62819.472125, 33708.367188, 1, 1892
